Institution	Code	Course	EOS	Mid
"ST ANGELA'S - SLIGO"	AS110	General Nursing                                             	405*	415
"ST ANGELA'S - SLIGO"	AS111	Mature Applicants General Nursing                           	#177*	183
"ST ANGELA'S - SLIGO"	AS130	Intellectual Disability Nursing                             	370*	385
"ST ANGELA'S - SLIGO"	AS131	Mature Applicants Intellectual Disability Nursing           	#154	164
"IT SLIGO"	SG141	Business                                                    	280	360
"IT SLIGO"	SG146	Accounting                                                  	335	365
"IT SLIGO"	SG241	Performing Arts                                             	260	320
"IT SLIGO"	SG242	Early Childhood Education                                   	290	350
"IT SLIGO"	SG243	Social Care Practice                                        	300	345
"IT SLIGO"	SG245	Creative Design                                             	255	325
"IT SLIGO"	SG342	Civil Engineering                                           		0
"IT SLIGO"	SG343	Quantity Surveying                                          	275	310
"IT SLIGO"	SG345	Architectural Design                                        	285	365
"IT SLIGO"	SG441	Environmental Science                                       	310	335
"IT SLIGO"	SG442	Occupational Safety and Health                              	310	345
"IT SLIGO"	SG443	Human Nutrition                             	395	420
"IT SLIGO"	SG445	Pharmaceutical Science with Drug Development                	290	355
"IT SLIGO"	SG446	Applied Archaeology                                         	305	330
"IT SLIGO"	SG448	Forensic Investigation and Analysis                         	295	330
"IT SLIGO"	SG449	Medical Biotechnology                                       	295	360
"ST PATRICK'S - THURLES"	TH002	Education (Joint Honours) - Business Studies and Accounting 	330	395
"ST PATRICK'S - THURLES"	TH003	Education (Joint Honours) - Business Studies and Religious Studies 	325	360
"ST PATRICK'S - THURLES"	TH004	Education (Joint Honours) -  Irish and Religious Studies    	345	395
"ST PATRICK'S - THURLES"	TH005	Education (Joint Honours) - Irish and Business Studies      	355	410
"IT TRALEE"	TL800	Social Media with Web Technologies                          		0
"IT TRALEE"	TL801	Design for Interactive  Media                               	300	340
"IT TRALEE"	TL802	TV Radio and New Media Broadcasting                        	300	340
"IT TRALEE"	TL803	Music Technology                                            	270	325
"IT TRALEE"	TL804	Creative Writing for Digital Media                          	295	360
"IT TRALEE"	TL805	Information Systems Management                              	370	370
"IT TRALEE"	TL810	Computing with Software Development                         	300	365
"IT TRALEE"	TL811	Computing with Games Development                            	335	385
"IT TRALEE"	TL812	Computing with Multimedia                                   	310	325
"IT TRALEE"	TL814	Computing with Mobile App Development                       	375	455
"IT TRALEE"	TL820	Travel and Tourism Management                               	370	390
"IT TRALEE"	TL821	Adventure Tourism Management                                	310	365
"IT TRALEE"	TL822	Hotel Management                                            	544	743
"IT TRALEE"	TL831	Business Studies                                            	300	370
"IT TRALEE"	TL833	International Business                                      		0
"IT TRALEE"	TL834	Digital Marketing with Social Media                         	345	350
"IT TRALEE"	TL850	Field Biology and Wildlife Tourism                          	315	350
"IT TRALEE"	TL851	Wildlife Biology                                            	300	350
"IT TRALEE"	TL852	Pharmaceutical Analysis with Cosmetic Science               		0
"IT TRALEE"	TL853	Pharmaceutical Analysis with Forensics                      	305	315
"IT TRALEE"	TL854	Pharmaceutical Analysis with Environmental Science          		0
"IT TRALEE"	TL871	Health and Leisure                                          	350	375
"IT TRALEE"	TL872	Health and Leisure with Massage                             	390	410
"IT TRALEE"	TL880	Early Childhood Care and Education                          	300	340
"IT TRALEE"	TL890	General Nursing                                             	415*	435
"IT TRALEE"	TL891	Mental Health Nursing                                       	385*	400
"IT TRALEE"	TL892	Mature Applicants General Nursing                           	164	172
"IT TRALEE"	TL893	Mature Applicants Mental Health Nursing                     	160	178
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD025	Construction Management and Engineering                     	295	355
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD027	Music                                                       	#295	340
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD028	Applied Computing                                           	335	350
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD048	Business                                                    	290	355
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD049	Business (with French)                                      	300	415
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD080	Business (with German)                                      	360	450
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD084	Accounting                                                  	320	400
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD085	Mechanical and Manufacturing Engineering                    	285	375
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD086	Electronic Engineering                                      	345	350
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD091	Hospitality Management                                      	275	335
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD095	Marketing with Advertising and Online Media                 	305	370
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD116	General Nursing                                             	415*	435
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD117	Psychiatric Nursing                                         	370	385
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD120	Intellectual Disability Nursing                             	355	375
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD124	Health Promotion                                            	300	345
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD125	Exercise and Health Studies                                 	285	325
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD134	International Business                                      	315	340
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD135	Social Care Practice                                        	310	340
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD137	Design (Visual Communications)                              	295	355
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD140	LLB Bachelor of Laws                                        	290	350
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD144	Architecture                                                	300	380
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD147	Pharmaceutical Science                                      	365	395
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD148	Tourism Marketing                                           	320	355
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD149	Early Childhood Studies                                     	320	355
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD150	Criminal Justice Studies                                    	285	340
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD152	Visual Art                                          	300	420
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD160	Finance and Investment                                      	315	380
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD161	Computer Forensics & Security                               	305	370
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD162	Quantity Surveying                                          	315	355
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD163	Psychology                                                  	390	430
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD168	Entertainment Systems                                      	295	350
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD171	Sustainable Energy Engineering                              	285	350
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD179	Business (with Irish)                                       	400	420
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD180	Physics for Modern Technology                               	325	415
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD185	Business (with Chinese)                                   	400	400
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD186	Sports Coaching and Performance                             	370	400
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD187	Social Science                                              	300	340
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD191	Agricultural Science                                        	430	445
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD200	Arts                                                        	280	325
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD816	Mature Applicants General Nursing                           	#183	186
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD817	Mature Applicants Psychiatric Nursing                       	#159*	168
"WATERFORD INSTITUTE OF TECHNOLOGY"	WD820	Mature Applicants Intellectual Disability Nursing           	#154	169

